"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Liberal Democrats","ScotLibDems","2021-03-15 19:04:53 CET","Wendy Chamberlain MP explains why Lib Dems oppose illiberal Police Bill ⬇️ ⬇️",14,1,0,"https://www.facebook.com/397986050296687/posts/3841015972660327"
"Scottish Labour Party","ScottishLabourParty","2021-03-15 18:51:52 CET","Why you should vote Scottish Labour on 6 May ↓",112,154,30,"https://www.facebook.com/310039442421596/posts/3911911245567713"
"Scottish Liberal Democrats","ScotLibDems","2021-03-15 18:38:54 CET","Unlike the Scottish Conservatives who are committed to Boris Johnson’s Brexit agenda, Scottish Liberal Democrats have a positive plan to put the recovery first and invest in mental health, education and jobs.",12,5,0,"https://www.facebook.com/397986050296687/posts/3840967949331796"
"Scottish Conservatives","ScottishConservatives","2021-03-15 18:26:17 CET","This bombshell confession reveals Nicola Sturgeon knew about another SNP sexual harassment scandal - and did nothing. The SNP are knee-deep in the same scandals that saw Labour lose votes in every Scottish Parliament election since 1999. https://www.dailymail.co.uk/news/article-9363969/Nicola-Sturgeon-faces-sexual-harassment-cover-claims.html",744,479,207,"https://www.facebook.com/136308776480/posts/10157821157611481"
"Scottish National Party (SNP)","theSNP","2021-03-15 18:08:49 CET","🏴󠁧󠁢󠁳󠁣󠁴󠁿 We believe in a fairer, more equal Scotland, where everyone has a right to a decent home. 🏘️ Our plan to deliver 100,000 more affordable homes - at least 70,000 for social rent - is key to making it a reality. 👇 Communities Minister Aileen Campbell sets out our strategy.",1579,771,300,"https://www.facebook.com/77249349077/posts/10159331602879078"
"Scottish Liberal Democrats","ScotLibDems","2021-03-15 17:30:51 CET","Scottish Liberal Democrats will put recovery first. These are unprecedented new resources and guarantees that will help education to bounce back and help every child achieve their potential 🙂",7,0,2,"https://www.facebook.com/397986050296687/posts/3833359340092657"
"Scottish Liberal Democrats","ScotLibDems","2021-03-15 16:59:49 CET","The pandemic made it abundantly clear that a fast and accessible internet connection is crucial for those living in the Highlands. It can no longer be seen as something that’s just nice to have.",3,0,0,"https://www.facebook.com/397986050296687/posts/3840777839350807"
"Scottish Green Party","ScottishGreens","2021-03-15 15:59:19 CET","As we rebuild from COVID, social and environmental justice must be at the heart of our recovery.",27,0,7,"https://www.facebook.com/17999726169/posts/10159147082601170"
"Scottish Conservatives","ScottishConservatives","2021-03-15 14:53:50 CET","Douglas Ross got stuck in to the SNP in his speech today 👇 He said: “All the ugliness in the SNP has broken out. It’s on show for all of Scotland to see. “The scandals, the sleaze, the secrecy. Abuses of power, cover ups, dishonesty, deceit, outright lies to the Scottish Parliament. “The SNP have become the very thing they sought to destroy. They are the morally bankrupt Scottish Labour party they once rebelled against. ""They are knee-deep in the same sort of scandals that saw Labour lose votes in every Scottish Parliament election since 1999."" #SCC21",1026,207,101,"https://www.facebook.com/136308776480/posts/10157820737236481"
"Scottish National Party (SNP)","theSNP","2021-03-15 14:29:37 CET","🏠 The SNP already delivered over 96,750 affordable homes - and we’re only getting started. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Now, the SNP Scottish Government has a plan to deliver 100,000 more affordable homes by 2032 - with 70% for social rent. 🏗️ This will support around £16 billion of investment and up to 14,000 jobs a year.",1590,706,450,"https://www.facebook.com/77249349077/posts/10159331235214078"
